"region_name","salary"
"Республика Дагестан","24550"
"Кабардино-Балкарская Республика","25318"
"Республика Ингушетия","25663"
"Карачаево-Черкесская Республика","25699"
"Республика Калмыкия","25719"
"Алтайский край","25960"
"Ивановская область","26053"
"Республика Северная Осетия-Алания","26108"
"Чеченская Республика","26108"
"Саратовская область","26555"
"Тамбовская область","26754"
"Орловская область","26834"
"Республика Мордовия","26999"
"Псковская область","27339"
"Брянская область","27403"
"Республика Адыгея","27455"
"Кировская область","27580"
"Курганская область","27887"
"Ульяновская область","27927"
"Костромская область","27948"
"Республика Марий Эл","28232"
"Ставропольский край","28256"
"Республика Крым","28400"
"Смоленская область","29566"
"Оренбургская область","29892"
"Волгоградская область","30097"
"Пензенская область","30112"
"Курская область","30125"
"Ростовская область","30647"
"Тверская область","30764"
"Липецкая область","30775"
"Новгородская область","30820"
"г. Севастополь","31008"
"Белгородская область","31163"
"Рязанская область","31192"
"Воронежская область","31286"
"Владимирская область","31647"
"Удмуртская Республика","31990"
"Омская область","32013"
"Астраханская область","32166"
"Калининградская область","32473"
"Нижегородская область","32973"
"Самарская область","33086"
"Республика Башкортостан","33137"
"Краснодарский край","33258"
"Ярославская область","33882"
"Тульская область","33933"
"Пермский край","34809"
"Челябинская область","34944"
"Республика Тыва","35619"
"Республика Татарстан","35722"
"Новосибирская область","36048"
"Вологодская область","36081"
"Свердловская область","37605"
"Республика Алтай","37764"
"Кемеровская область","37857"
"Республика Бурятия","37867"
"Республика Хакасия","37949"
"Калужская область","38005"
"Томская область","39707"
"Республика Карелия","39755"
"Еврейская АО","39797"
"Забайкальский край","40728"
"Приморский край","42026"
"Ленинградская область","42434"
"Иркутская область","42921"
"Амурская область","43156"
"Красноярский край","44692"
"Хабаровский край","46583"
"Архангельская область","47526"
"Республика Коми","48316"
"Московская обл.","50135"
"Мурманская обл.","56005"
"г. Санкт-Петербург","58310"
"Тюменская обл.","61937"
"Ханты-Мансийский АО (Югра)","62555"
"Республика Саха (Якутия)","65881"
"Камчатский край","71553"
"Сахалинская обл.","73261"
"Ненецкий АО","77277"
"Ямало-Ненецкий АО","86560"
"Чукотский АО","96930"
"Магаданская обл.","101662"
